,Date,AMD,NVDA,GOOG,NFLX,T,TSLA,AAPL,F,ATVI,TTWO
0,09/20/2021,101.55000305175781,210.83192443847656,139.01699829101562,575.4299926757812,17.804096221923828,243.38999938964844,141.3052520751953,11.35352897644043,74.92161560058594,148.83999633789062
1,09/21/2021,102.81999969482422,212.16006469726562,139.64649963378906,573.1400146484375,17.640514373779297,246.4600067138672,141.7895965576172,11.309247016906738,71.82364654541016,145.72000122070312
2,09/22/2021,104.37999725341797,219.10025024414062,140.93850708007812,590.6500244140625,17.67323112487793,250.64666748046875,144.1819305419922,11.716628074645996,71.60728454589844,145.25
3,09/23/2021,106.1500015258789,224.5026092529297,141.82650756835938,593.260009765625,17.79100799560547,251.2133331298828,145.15072631835938,12.141719818115234,73.43655395507812,146.67999267578125
4,09/24/2021,105.80000305175781,220.49826049804688,142.63299560546875,592.3900146484375,17.75174903869629,258.1300048828125,145.23968505859375,12.203712463378906,74.01681518554688,147.36000061035156
5,09/27/2021,108.16000366210938,216.29421997070312,141.50100708007812,592.6400146484375,17.928417205810547,263.78668212890625,143.70741271972656,12.540245056152344,73.83979034423828,148.64999389648438
6,09/28/2021,101.5199966430664,206.6977996826172,136.1840057373047,583.8499755859375,17.823726654052734,259.1866760253906,140.28700256347656,12.673089027404785,75.06913757324219,149.11000061035156
7,09/29/2021,100.3499984741211,204.88034057617188,134.52099609375,599.0599975585938,17.928417205810547,260.4366760253906,141.19647216796875,12.664231300354004,76.1017837524414,151.60000610351562
8,09/30/2021,102.9000015258789,206.8675537109375,133.2655029296875,610.3400268554688,17.67323112487793,258.49334716796875,139.88168334960938,12.540245056152344,76.11162567138672,154.07000732421875
9,10/01/2021,102.44999694824219,207.12718200683594,136.46249389648438,613.1500244140625,17.771381378173828,258.40667724609375,141.0185089111328,12.540245056152344,77.23279571533203,158.5399932861328
10,10/04/2021,100.33999633789062,197.0414276123047,133.76499938964844,603.3499755859375,17.83026885986328,260.510009765625,137.54867553710938,12.708510398864746,75.90509796142578,157.1300048828125
11,10/05/2021,101.80999755859375,204.2212677001953,136.177001953125,634.8099975585938,17.89570426940918,260.1966552734375,139.4961395263672,12.655373573303223,75.5313720703125,162.02000427246094
12,10/06/2021,103.63999938964844,206.707763671875,137.35400390625,639.0999755859375,17.869524002075195,260.9166564941406,140.37599182128906,12.504820823669434,76.0132827758789,165.44000244140625
13,10/07/2021,106.44999694824219,210.45248413085938,139.1855010986328,631.8499755859375,18.183990478515625,264.53668212890625,141.6511993408203,13.18674087524414,76.08212280273438,170.77000427246094
14,10/08/2021,105.05999755859375,208.0159149169922,140.05599975585938,632.6599731445312,17.969188690185547,261.8299865722656,141.26564025878906,13.390432357788086,76.32799530029297,173.69000244140625
15,10/11/2021,104.68000030517578,206.6578369140625,138.84750366210938,627.0399780273438,17.47247314453125,263.9800109863281,141.1767120361328,13.36386489868164,75.0593032836914,170.72000122070312
16,10/12/2021,105.04000091552734,206.41815185546875,136.71299743652344,624.9400024414062,17.069726943969727,268.5733337402344,139.8915557861328,13.850950241088867,73.68241882324219,171.35000610351562
17,10/13/2021,109.16000366210938,209.09437561035156,137.89999389648438,629.760009765625,16.98246192932129,270.3599853515625,139.29843139648438,13.735818862915039,74.00697326660156,170.60000610351562
18,10/14/2021,111.98999786376953,217.15298461914062,141.41200256347656,633.7999877929688,17.197263717651367,272.7733459472656,142.1158447265625,13.682682037353516,74.85277557373047,169.3800048828125
19,10/15/2021,112.12000274658203,218.3113555908203,141.6750030517578,628.2899780273438,17.250961303710938,281.010009765625,143.18348693847656,13.904084205627441,75.13797760009766,170.55999755859375
20,10/18/2021,116.43000030517578,221.90628051757812,142.9604949951172,637.969970703125,17.002599716186523,290.03668212890625,144.87391662597656,13.78010082244873,75.13797760009766,171.75
21,10/19/2021,116.33000183105469,222.58531188964844,143.82200622558594,639.0,17.1771240234375,288.0899963378906,147.0586700439453,13.65611457824707,75.90509796142578,172.0399932861328
22,10/20/2021,116.38999938964844,220.71795654296875,142.4149932861328,625.1400146484375,17.391921997070312,288.6000061035156,147.55294799804688,14.205194473266602,76.79022979736328,173.5
23,10/21/2021,119.33000183105469,226.599609375,142.78050231933594,653.1599731445312,17.29123878479004,298.0,147.7704315185547,14.656852722167969,77.39998626708984,182.05999755859375
24,10/22/2021,119.81999969482422,226.9391632080078,138.625,664.780029296875,17.110000610351562,303.2266540527344,146.9894561767578,14.417739868164062,77.96056365966797,180.75
25,10/25/2021,122.36000061035156,231.33294677734375,138.7729949951172,671.6599731445312,17.2106876373291,341.6199951171875,146.94003295898438,14.169768333435059,79.8488540649414,182.99000549316406
26,10/26/2021,122.93000030517578,246.821044921875,139.6719970703125,668.52001953125,17.029449462890625,339.4766540527344,147.6122589111328,14.116632461547852,79.42595672607422,182.5399932861328
27,10/27/2021,122.27999877929688,244.164794921875,146.42750549316406,662.9199829101562,16.821365356445312,345.9533386230469,147.1476287841797,13.735818862915039,77.35081481933594,180.91000366210938
28,10/28/2021,121.16000366210938,249.05789184570312,146.12899780273438,674.0499877929688,17.15027618408203,359.0133361816406,150.8250732421875,14.931394577026367,77.57701110839844,181.11000061035156
29,10/29/2021,120.2300033569336,255.3090362548828,148.27049255371094,690.3099975585938,16.95561408996582,371.3333435058594,148.08676147460938,15.126229286193848,76.8984146118164,181.0
30,11/01/2021,125.2300033569336,257.9053649902344,143.7740020751953,681.1699829101562,17.029449462890625,402.86334228515625,147.25637817382812,15.896711349487305,78.03924560546875,183.8000030517578
