linear,lasso,ridge,poly
-0.157347475,-0.157331485,-0.001960257,0.518921768
-0.132957498,-0.132944129,-0.000672605,-3.946966949
0.858847386,0.858758374,0.004413494,11.1341179
0.599943909,0.599882087,0.00369209,10.07457197
2.11705482,2.116808448,0.019848001,1.715941142
1.217163562,1.217024698,0.017076419,-0.267235381
1.05679499,1.056675144,0.016248288,0.031875418
1.059605101,1.059484795,0.01641065,0.418819262
0.95571583,0.955607735,0.015882655,1.171971317
0.884236553,0.884137777,0.014190792,1.081604412
0.493138911,0.493085695,0.009591326,0.442569563
0.533417507,0.53335986,0.009782257,0.33407916
0.387466406,0.387425371,0.007158737,0.258436132
0.008591549,0.008590689,0.000107332,0.021579622
-0.19599412,-0.195974225,-0.001823679,-1.614262898
-1.352934007,-1.352789007,-0.008696078,-1.522629996
-1.03843376,-1.03832431,-0.006544247,-1.138881243
-1.730358352,-1.730169816,-0.010858172,-1.722607617
-0.008878991,-0.008878102,-0.000164799,-1.746606961
0.318124617,0.318091067,0.006621351,1.901133336
0.364528943,0.364490225,0.007530942,1.467096748
0.314862945,0.31482972,0.006692535,1.021133864
-0.142533147,-0.142518505,-0.0033052,-0.801134473
-0.668027857,-0.667958017,-0.005511999,-1.264376829
-1.905036191,-1.904823087,-0.014379171,-2.848457957
-2.984652021,-2.984289438,-0.026038896,-3.812662059
-3.140173015,-3.13978951,-0.026822001,-3.611223075
-2.695969981,-2.695661594,-0.017439538,-6.204796986
-0.054495912,-0.054490415,-0.001061984,-4.297547908
-0.005182495,-0.005181977,-0.000140034,-0.151953637
0.137893286,0.137879066,0.003788028,0.16224254
0.125816199,0.125803256,0.003479435,0.05160455
0.22930483,0.229280607,0.006832886,0.145533349
0.11319657,0.113185047,0.002179146,0.260407347
0.568471658,0.568410555,0.009073494,0.334402469
0.191685406,0.191665333,0.005719179,0.762870191
0.179071554,0.179052847,0.005413757,0.714033182
0.112323419,0.112311878,0.003323605,0.139901132
0.146998008,0.146982826,0.003975942,0.097526874
0.010713514,0.01071244,0.000252415,-0.148203186
0.279853074,0.279824052,0.004491687,-0.343486305
0.469690375,0.469641198,0.005698604,-0.991332373
0.432620123,0.432574816,0.005729312,-1.1992758
-0.160073763,-0.160057245,-0.003864819,-0.157010575
-0.119426271,-0.119414061,-0.002706898,-0.145380418
-0.178820571,-0.178802185,-0.003421286,0.447021481
-0.126951833,-0.126938813,-0.003109035,-0.13923651
-0.033247589,-0.033244242,-0.000834023,-0.116213886
0.263352674,0.263325001,0.006159797,0.060186834
0.196653718,0.196633309,0.004582528,0.0788982
0.187700612,0.187681166,0.004365672,0.001770665
-0.295823526,-0.295792979,-0.003951929,0.901231732
0.108790154,0.108779067,0.002310879,0.18235142
0.445102349,0.445054876,0.008067656,0.42921448
0.446965916,0.446918319,0.007865838,0.544686128
0.028724077,0.028721194,0.00046253,0.127294041
0.245057422,0.245032098,0.004049229,0.400461003
0.526175746,0.52612107,0.004740888,-1.987934985
1.392613753,1.392463716,0.00937862,-5.17971399
1.910570106,1.910363431,0.009908768,-7.190210518
0.308389616,0.308358322,0.001787978,-13.64166215
-1.156821768,-1.156694472,-0.012168401,-1.106312966
-1.01899954,-1.018888473,-0.010904384,-0.838830562
-0.721917016,-0.721840902,-0.006585146,-0.718027367
-0.35405514,-0.354018988,-0.002555626,-0.022518707
-0.645677441,-0.645610444,-0.004560202,-0.269631546
1.531560737,1.531400598,0.005526799,2.406510254
0.508657925,0.508604936,0.005059699,1.170290623
0.428158279,0.428114072,0.003937384,1.688368568
0.182167565,0.182149007,0.002273666,0.158017531
0.64186805,0.641794142,0.018356398,0.141359485
0.434091685,0.434043495,0.013351453,-0.223115385
0.434453179,0.434404773,0.013839953,-0.515993688
-0.063098671,-0.063092162,-0.003810964,0.52574427
0.015707243,0.015705659,0.001028135,0.48574659
-0.002196608,-0.002196388,-0.000165,0.152571986
-0.015361747,-0.015360197,-0.001137184,0.316336949
-0.011287984,-0.011286847,-0.000832245,0.214991815
0.330363337,0.330327829,0.009070546,-0.55760526
0.165561313,0.165544017,0.005416564,-0.637137013
0.021032237,0.021030124,0.000590601,-0.844880303
0.031360592,0.031357434,0.000842269,-1.057380572
0.178209045,0.178190602,0.004231103,-2.008325639
0.225962211,0.22593816,0.007804022,0.264851944
0.41270611,0.412662187,0.007787668,-3.142116561
0.583706412,0.583643103,0.010253874,-4.026035318
1.05091435,1.050792002,0.019903029,1.712495478
0.772790461,0.772700978,0.019141502,0.570779219
0.201625354,0.201604609,0.003504187,0.246364828
0.796898045,0.796807607,0.016349025,0.472736014
1.152983487,1.152844059,0.025366869,0.876345603
0.294785387,0.294753355,0.01049988,1.310116998
0.383243776,0.383201087,0.013802862,1.448101346
0.481355305,0.481300383,0.017090299,1.991555707
0.195903274,0.195882582,0.006816572,0.276289565
0.08613225,0.086123434,0.002850787,-0.610323855
-0.238883646,-0.238859352,-0.002062389,1.51332936
-0.430935843,-0.430890868,-0.005291048,0.866834172
0.027581308,0.027578541,0.00039097,1.270482468
-0.272221732,-0.272193599,-0.004053587,1.072494463
0.407906968,0.407864168,0.005970059,1.207439322
0.573665486,0.573604048,0.008601417,0.208216357
0.795116328,0.795029088,0.011782363,0.232358755
0.542224666,0.542167886,0.005717905,-7.057498178
1.125803836,1.12566706,0.026050315,1.022557349
1.021515135,1.021395258,0.02103258,0.817437365
0.827923236,0.827829241,0.01640137,0.366352058
0.786888903,0.786799319,0.016781799,0.402360413
0.714642822,0.714562417,0.015163904,0.481662645
0.407057075,0.407014441,0.005743172,0.910146952
-0.07926087,-0.079252887,-0.000870793,1.365330538
-0.371060591,-0.371022397,-0.00355222,2.444455232
-0.607154565,-0.607091036,-0.005617942,1.564063243
1.203344725,1.203210421,0.014070819,1.843225126
1.902441897,1.902224512,0.017292119,1.06343156
0.962197718,0.962088998,0.015747058,2.314895022
0.670774882,0.67069473,0.023624292,1.586977817
0.683315313,0.68323256,0.025581666,1.714838115
0.517708573,0.517647077,0.022768953,0.642835219
0.534302217,0.534238338,0.023704281,0.60150711
0.503351032,0.503291526,0.022083059,0.494134045
0.661544024,0.661472158,0.010464795,2.03235014
0.630514236,0.630445986,0.009994737,2.14016037
1.090615283,1.090494589,0.012928964,1.237564783
1.174746676,1.17461542,0.014219719,1.238384004
0.452692862,0.452644887,0.007243214,0.719900151
0.360692106,0.36065431,0.005805002,0.571225181
0.374107291,0.374067995,0.006108599,0.501017261
0.16288876,0.162872141,0.002454379,0.397933264
0.447813695,0.447765879,0.008215228,0.579741109
0.477520873,0.477470358,0.007013923,0.226994239
0.758673102,0.758589759,0.011943495,0.774902696
0.997645348,0.997534198,0.013831746,1.159800955
1.052656237,1.052535349,0.017988251,1.016069998
0.88935008,0.889249232,0.016236018,0.767017412
0.874669549,0.874570575,0.015946565,1.076265139
-0.377118208,-0.377079335,-0.003732667,-3.882861691
-0.314453439,-0.314421181,-0.003132084,-4.73982955
0.423559436,0.423515412,0.004776009,2.813628251
1.193496336,1.193367651,0.00948097,4.421038389
0.425160198,0.425116436,0.003552429,4.55438528
0.57403341,0.573970482,0.011665375,0.50966579
0.616438235,0.616369823,0.013308774,0.64525517
0.563731219,0.563667601,0.01557736,0.577871183
0.073074118,0.073066658,0.002536587,0.082678065
-0.059104492,-0.059098478,-0.00211662,-0.052222973
-0.180350703,-0.180331703,-0.006490713,-0.516089136
-0.168775339,-0.168757614,-0.006079047,-0.427041301
0.082922721,0.082914217,0.003092189,-0.382599265
0.988595695,0.988475997,0.025550302,1.493087163
